Repository_Name,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,2026-02-21T00:00:00Z,2026-02-22T00:00:00Z,2026-02-23T00:00:00Z,2026-02-24T00:00:00Z,2026-02-25T00:00:00Z,2026-02-26T00:00:00Z,2026-02-27T00:00:00Z,2026-02-28T00:00:00Z,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,2026-03-03T00:00:00Z,2026-03-04T00:00:00Z,2026-04-03T00:00:00Z,2026-04-04T00:00:00Z,2026-04-05T00:00:00Z,2026-04-06T00:00:00Z,2026-04-07T00:00:00Z,2026-04-08T00:00:00Z,2026-04-09T00:00:00Z,2026-04-10T00:00:00Z,2026-04-11T00:00:00Z,2026-04-12T00:00:00Z,2026-04-13T00:00:00Z,2026-04-14T00:00:00Z,2026-04-15T00:00:00Z,2026-04-16T00:00:00Z,2026-04-17T00:00:00Z,2026-04-18T00:00:00Z,2026-04-19T00:00:00Z,2026-04-20T00:00:00Z,2026-04-21T00:00:00Z
Cortex_Agent_FSI_Examples,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Cortex_Analyst_FSI_Examples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Cortex_Search_FSI_Examples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
GitHub_Insigths_History,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sample_Data_Financial_Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
AI_COMPLETE_w_FineTunned_LLM,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,4.0,3.0
ArcticTraining_LLM_Fine-tuning,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Snowflake_ML_Trade_Anomaly_Detection,,,,,,,,,,,,,,,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0
Usage_History_Examples,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,7.0,3.0,2.0,0.0,0.0,8.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
Cortex_Agent_Evaluation,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
